Team_name,Category,Country,Drive_Folder,Institution_Address,Institution_Name,Institution_Short_Name,Logo,Social_Facebook,Social_Instagram,Social_Twitter,Website_Url,Former_Name
Orion Racing India,combustion,IN,,,K. J. Somaiya College of Engineering,KJSCE,,https://www.facebook.com/orionracing,https://www.instagram.com/orionracingin/,https://twitter.com/OrionRacingIn,http://www.orion-racing.com/,
Team Defianz Racing,combustion,IN,,,DL Technological University,DTU,,https://www.facebook.com/teamdefianzracing/,https://www.instagram.com/defianz_racing/?hl=en,https://twitter.com/defianzracing?lang=en,,
Raftar Formula Racing,combustion,IN,,,Indian Institute of Technology Madras,IIT Madras,,https://m.facebook.com/raftar.iitm/?ref=bookmarks,,,http://cfi.iitm.ac.in/raftar/,
DJS Racing,combustion,IN,,,Dwarkadas J. Sanghvi College of Engineering,DJSCE,,https://www.facebook.com/DJSRacing/,https://www.instagram.com/djs_racing/,https://twitter.com/djsracing_india,http://www.djs-racing.com,
Stallion Motorsport,combustion,IN,,,Smt. Kashibai Navale College of Engineering,SKNCOE,,https://m.facebook.com/stallionmotorsport/,https://www.instagram.com/stallion_motorsport,https://mobile.twitter.com/stallionmsport?lang=en,,
Team Fateh,combustion,IN,,,Thapar Institute of Engineering and Technology,TIET,,https://www.facebook.com/teamfateh/,https://www.instagram.com/fateh_fsae/?hl=en,,http://www.teamfateh.com/,
Camber Racing,combustion,IN,,,SRM Institute of Science and Technology,SRM IST,,https://www.facebook.com/camberracing/,https://www.instagram.com/camberracing/,https://www.twitter.com/camber_racing/,https://www.camberracing.com/,
Team Haya Racing,combustion,IN,,,PES University,PES University,,https://www.facebook.com/teamhayaracing,https://instagram.com/hayaracing,,http://hayaracingteam.com,
Vishwaracers,combustion,IN,,,Vishwakarma Institute of Information Technology,VIIT,,https://www.facebook.com/teamVR25/,https://www.instagram.com/vishwaracers/,,,
Team Roadrunner,combustion,IN,,,National Institute of Technology, Rourkela,NIT Rourkela,,https://www.facebook.com/TeamRoadrunnerNITR/,https://www.instagram.com/teamroadrunner_nitr/,,,
Team Srijan,combustion,IN,,,Birla Institute of Technology, Mesra,BIT Mesra,,https://www.facebook.com/TeamSrijan/,https://www.google.com/url?q=https://www.instagram.com/team_srijan/,,http://teamsrijan.com/,
Resonance Racing,combustion,IN,,,AISSMS College of Engineering, Pune,AISSMS COE,,https://www.facebook.com/ResonanceRacingFSAE/,https://www.instagram.com/resonance_racing_fsae/,,,
Team KART,combustion,IN,,,Indian Institute of Technology Kharagpur,IIT Kharagpur,,https://www.facebook.com/TeamKART/,https://www.instagram.com/team.kart/,https://twitter.com/team_kart?lang=en,,
Team Nequit,combustion,IN,,,Rajarambapu Institute of Technology,RIT,,https://www.facebook.com/teamnequit/,https://www.instagram.com/team_nequit/,,,
GTU Motorsports,combustion,IN,,,Gujarat Technological University,GTU,,https://www.facebook.com/gtmotorsports.in/,https://www.instagram.com/gtmotorsports.in,,,
